Date,SKU_ID,Category,Units_Sold,Unit_Price,Current_Stock,Lead_Time_Days
2024-01-01,SKU-1001,Electronics,19.0,246.4,305,10
2024-01-02,SKU-1001,Electronics,17.0,253.01,288,10
2024-01-03,SKU-1001,Electronics,20.0,245.74,268,10
2024-01-04,SKU-1001,Electronics,24.0,254.86,244,10
2024-01-05,SKU-1001,Electronics,21.0,252.71,223,10
2024-01-06,SKU-1001,Electronics,25.0,246.98,198,10
2024-01-07,SKU-1001,Electronics,28.0,245.05,440,10
2024-01-08,SKU-1001,Electronics,21.0,253.14,419,10
2024-01-09,SKU-1001,Electronics,17.0,252.06,402,10
2024-01-10,SKU-1001,Electronics,21.0,252.28,381,10
2024-01-11,SKU-1001,Electronics,20.0,252.7,361,10
2024-01-12,SKU-1001,Electronics,22.0,245.73,339,10
2024-01-13,SKU-1001,Electronics,28.0,248.57,311,10
2024-01-14,SKU-1001,Electronics,20.0,246.15,561,10
2024-01-15,SKU-1001,Electronics,16.0,253.62,545,10
2024-01-16,SKU-1001,Electronics,18.0,251.22,527,10
2024-01-17,SKU-1001,Electronics,18.0,248.3,509,10
2024-01-18,SKU-1001,Electronics,23.0,245.63,486,10
2024-01-19,SKU-1001,Electronics,22.0,248.1,464,10
2024-01-20,SKU-1001,Electronics,25.0,248.24,439,10
2024-01-21,SKU-1001,Electronics,31.0,252.29,678,10
2024-01-22,SKU-1001,Electronics,21.0,251.37,657,10
2024-01-23,SKU-1001,Electronics,21.0,253.86,636,10
2024-01-24,SKU-1001,Electronics,18.0,249.71,618,10
2024-01-25,SKU-1001,Electronics,22.0,246.19,596,10
2024-01-26,SKU-1001,Electronics,26.0,252.12,570,10
2024-01-27,SKU-1001,Electronics,28.0,252.6,542,10
2024-01-28,SKU-1001,Electronics,30.0,250.6,782,10
2024-01-29,SKU-1001,Electronics,21.0,252.7,761,10
2024-01-30,SKU-1001,Electronics,21.0,249.93,740,10
2024-01-31,SKU-1001,Electronics,22.0,250.22,718,10
2024-02-01,SKU-1001,Electronics,30.0,249.27,688,10
2024-02-02,SKU-1001,Electronics,27.0,245.24,661,10
2024-02-03,SKU-1001,Electronics,29.0,246.07,632,10
2024-02-04,SKU-1001,Electronics,32.0,245.3,870,10
2024-02-05,SKU-1001,Electronics,21.0,251.35,849,10
2024-02-06,SKU-1001,Electronics,24.0,248.13,825,10
2024-02-07,SKU-1001,Electronics,19.0,250.08,806,10
2024-02-08,SKU-1001,Electronics,22.0,254.07,784,10
2024-02-09,SKU-1001,Electronics,29.0,247.48,755,10
2024-02-10,SKU-1001,Electronics,36.0,249.09,719,10
2024-02-11,SKU-1001,Electronics,32.0,252.55,957,10
2024-02-12,SKU-1001,Electronics,25.0,247.28,932,10
2024-02-13,SKU-1001,Electronics,24.0,245.76,908,10
2024-02-14,SKU-1001,Electronics,22.0,247.89,886,10
2024-02-15,SKU-1001,Electronics,25.0,246.6,861,10
2024-02-16,SKU-1001,Electronics,29.0,254.29,832,10
2024-02-17,SKU-1001,Electronics,39.0,253.07,793,10
2024-02-18,SKU-1001,Electronics,34.0,251.32,1029,10
2024-02-19,SKU-1001,Electronics,22.0,253.7,1007,10
2024-01-01,SKU-1002,Electronics,,609.18,154,10
2024-01-02,SKU-1002,Electronics,9.0,608.04,145,10
2024-01-03,SKU-1002,Electronics,9.0,593.2,136,10
2024-01-04,SKU-1002,Electronics,11.0,602.83,125,10
2024-01-05,SKU-1002,Electronics,10.0,606.6,115,10
2024-01-06,SKU-1002,Electronics,12.0,600.32,103,10
2024-01-07,SKU-1002,Electronics,11.0,599.71,227,10
2024-01-08,SKU-1002,Electronics,8.0,592.81,219,10
2024-01-09,SKU-1002,Electronics,10.0,589.25,209,10
2024-01-10,SKU-1002,Electronics,10.0,608.52,199,10
2024-01-11,SKU-1002,Electronics,10.0,608.59,189,10
2024-01-12,SKU-1002,Electronics,11.0,602.19,178,10
2024-01-13,SKU-1002,Electronics,12.0,595.14,166,10
2024-01-14,SKU-1002,Electronics,12.0,595.39,289,10
2024-01-15,SKU-1002,Electronics,10.0,604.41,279,10
2024-01-16,SKU-1002,Electronics,9.0,608.51,270,10
2024-01-17,SKU-1002,Electronics,10.0,608.27,260,10
2024-01-18,SKU-1002,Electronics,12.0,605.71,248,10
2024-01-19,SKU-1002,Electronics,15.0,602.4,233,10
2024-01-20,SKU-1002,Electronics,15.0,589.04,218,10
2024-01-21,SKU-1002,Electronics,14.0,590.89,339,10
2024-01-22,SKU-1002,Electronics,11.0,608.55,328,10
2024-01-23,SKU-1002,Electronics,8.0,601.55,320,10
2024-01-24,SKU-1002,Electronics,11.0,587.24,309,10
2024-01-25,SKU-1002,Electronics,12.0,589.45,297,10
2024-01-26,SKU-1002,Electronics,16.0,602.92,281,10
2024-01-27,SKU-1002,Electronics,15.0,587.14,266,10
2024-01-28,SKU-1002,Electronics,15.0,590.87,386,10
2024-01-29,SKU-1002,Electronics,11.0,600.17,375,10
2024-01-30,SKU-1002,Electronics,9.0,603.6,366,10
2024-01-31,SKU-1002,Electronics,13.0,602.64,353,10
2024-02-01,SKU-1002,Electronics,13.0,592.39,340,10
2024-02-02,SKU-1002,Electronics,15.0,604.08,325,10
2024-02-03,SKU-1002,Electronics,15.0,592.7,310,10
2024-02-04,SKU-1002,Electronics,17.0,594.82,428,10
2024-02-05,SKU-1002,Electronics,10.0,604.91,418,10
2024-02-06,SKU-1002,Electronics,12.0,602.59,406,10
2024-02-07,SKU-1002,Electronics,15.0,607.37,391,10
2024-02-08,SKU-1002,Electronics,12.0,602.78,379,10
2024-02-09,SKU-1002,Electronics,14.0,600.64,365,10
2024-02-10,SKU-1002,Electronics,17.0,589.26,348,10
2024-02-11,SKU-1002,Electronics,15.0,595.83,468,10
2024-02-12,SKU-1002,Electronics,11.0,593.37,457,10
2024-02-13,SKU-1002,Electronics,12.0,592.87,445,10
2024-02-14,SKU-1002,Electronics,12.0,610.33,433,10
2024-02-15,SKU-1002,Electronics,14.0,596.44,419,10
2024-02-16,SKU-1002,Electronics,14.0,608.39,405,10
2024-02-17,SKU-1002,Electronics,20.0,602.14,385,10
2024-02-18,SKU-1002,Electronics,16.0,606.06,504,10
2024-02-19,SKU-1002,Electronics,13.0,599.06,491,10
2024-01-01,SKU-1003,Grocery,43.0,4.55,200,3
2024-01-02,SKU-1003,Grocery,62.0,4.45,138,3
2024-01-03,SKU-1003,Grocery,50.0,4.52,88,3
2024-01-04,SKU-1003,Grocery,43.0,4.43,45,3
2024-01-05,SKU-1003,Grocery,47.0,4.42,0,3
2024-01-06,SKU-1003,Grocery,67.0,4.51,0,3
2024-01-07,SKU-1003,Grocery,58.0,4.51,202,3
2024-01-08,SKU-1003,Grocery,53.0,4.52,149,3
2024-01-09,SKU-1003,Grocery,49.0,4.54,100,3
2024-01-10,SKU-1003,Grocery,49.0,4.59,51,3
2024-01-11,SKU-1003,Grocery,46.0,4.5,5,3
2024-01-12,SKU-1003,Grocery,47.0,4.47,0,3
